id,link,bank,rating
532180,/bank/tinkoff-bank/otzyvy/532180,tinkoff-bank,5
532166,/bank/tinkoff-bank/otzyvy/532166,tinkoff-bank,5
532137,/bank/tinkoff-bank/otzyvy/532137,tinkoff-bank,5
532135,/bank/tinkoff-bank/otzyvy/532135,tinkoff-bank,4
532120,/bank/tinkoff-bank/otzyvy/532120,tinkoff-bank,5
532107,/bank/tinkoff-bank/otzyvy/532107,tinkoff-bank,5
532067,/bank/tinkoff-bank/otzyvy/532067,tinkoff-bank,5
532063,/bank/tinkoff-bank/otzyvy/532063,tinkoff-bank,5
532061,/bank/tinkoff-bank/otzyvy/532061,tinkoff-bank,5
532039,/bank/sovkombank/otzyvy/532039,sovkombank,5
532022,/bank/tinkoff-bank/otzyvy/532022,tinkoff-bank,5
532018,/bank/tinkoff-bank/otzyvy/532018,tinkoff-bank,5
531983,/bank/sovkombank/otzyvy/531983,sovkombank,5
531969,/bank/tinkoff-bank/otzyvy/531969,tinkoff-bank,5
531955,/bank/sovkombank/otzyvy/531955,sovkombank,5
531953,/bank/sovkombank/otzyvy/531953,sovkombank,5
531952,/bank/sovkombank/otzyvy/531952,sovkombank,5
531902,/bank/sovkombank/otzyvy/531902,sovkombank,2
531901,/bank/sovkombank/otzyvy/531901,sovkombank,4
531899,/bank/tinkoff-bank/otzyvy/531899,tinkoff-bank,5
531874,/bank/tinkoff-bank/otzyvy/531874,tinkoff-bank,5
531848,/bank/tinkoff-bank/otzyvy/531848,tinkoff-bank,5
531832,/bank/sovkombank/otzyvy/531832,sovkombank,4
531829,/bank/tinkoff-bank/otzyvy/531829,tinkoff-bank,5
531796,/bank/sovkombank/otzyvy/531796,sovkombank,5
531792,/bank/tinkoff-bank/otzyvy/531792,tinkoff-bank,5
531779,/bank/gazprombank/otzyvy/531779,gazprombank,1
531776,/bank/sovkombank/otzyvy/531776,sovkombank,5
531772,/bank/tinkoff-bank/otzyvy/531772,tinkoff-bank,4
531736,/bank/sovkombank/otzyvy/531736,sovkombank,5
531698,/bank/tinkoff-bank/otzyvy/531698,tinkoff-bank,5
531691,/bank/tinkoff-bank/otzyvy/531691,tinkoff-bank,2
531685,/bank/sovkombank/otzyvy/531685,sovkombank,5
531677,/bank/tinkoff-bank/otzyvy/531677,tinkoff-bank,5
531665,/bank/tinkoff-bank/otzyvy/531665,tinkoff-bank,5
531644,/bank/tinkoff-bank/otzyvy/531644,tinkoff-bank,5
531626,/bank/tinkoff-bank/otzyvy/531626,tinkoff-bank,5
531624,/bank/tinkoff-bank/otzyvy/531624,tinkoff-bank,5
531612,/bank/tinkoff-bank/otzyvy/531612,tinkoff-bank,5
531597,/bank/tinkoff-bank/otzyvy/531597,tinkoff-bank,5
531589,/bank/sovkombank/otzyvy/531589,sovkombank,5
531572,/bank/tinkoff-bank/otzyvy/531572,tinkoff-bank,3
531566,/bank/tinkoff-bank/otzyvy/531566,tinkoff-bank,5
531526,/bank/sovkombank/otzyvy/531526,sovkombank,5
531503,/bank/tinkoff-bank/otzyvy/531503,tinkoff-bank,5
531487,/bank/tinkoff-bank/otzyvy/531487,tinkoff-bank,5
531449,/bank/tinkoff-bank/otzyvy/531449,tinkoff-bank,5
531440,/bank/tinkoff-bank/otzyvy/531440,tinkoff-bank,5
531437,/bank/tinkoff-bank/otzyvy/531437,tinkoff-bank,5
531436,/bank/tinkoff-bank/otzyvy/531436,tinkoff-bank,5
531434,/bank/sovkombank/otzyvy/531434,sovkombank,5
531432,/bank/tinkoff-bank/otzyvy/531432,tinkoff-bank,5
531406,/bank/sovkombank/otzyvy/531406,sovkombank,5
531405,/bank/tochka/otzyvy/531405,tochka,5
531382,/bank/tinkoff-bank/otzyvy/531382,tinkoff-bank,5
531336,/bank/sovkombank/otzyvy/531336,sovkombank,5
531325,/bank/tinkoff-bank/otzyvy/531325,tinkoff-bank,5
531323,/bank/tinkoff-bank/otzyvy/531323,tinkoff-bank,5
531309,/bank/tinkoff-bank/otzyvy/531309,tinkoff-bank,5
531303,/bank/tinkoff-bank/otzyvy/531303,tinkoff-bank,5
531297,/bank/tinkoff-bank/otzyvy/531297,tinkoff-bank,5
531267,/bank/sovkombank/otzyvy/531267,sovkombank,5
531260,/bank/sovkombank/otzyvy/531260,sovkombank,3
531258,/bank/tinkoff-bank/otzyvy/531258,tinkoff-bank,5
531255,/bank/tinkoff-bank/otzyvy/531255,tinkoff-bank,5
531254,/bank/sovkombank/otzyvy/531254,sovkombank,5
531225,/bank/tinkoff-bank/otzyvy/531225,tinkoff-bank,5
531218,/bank/tinkoff-bank/otzyvy/531218,tinkoff-bank,5
531180,/bank/tinkoff-bank/otzyvy/531180,tinkoff-bank,5
531169,/bank/tinkoff-bank/otzyvy/531169,tinkoff-bank,5
531151,/bank/tinkoff-bank/otzyvy/531151,tinkoff-bank,5
531122,/bank/tinkoff-bank/otzyvy/531122,tinkoff-bank,5
531105,/bank/tinkoff-bank/otzyvy/531105,tinkoff-bank,5
531070,/bank/aziatskotikhookeanskij-bank/otzyvy/531070,aziatskotikhookeanskij-bank,1
531069,/bank/tinkoff-bank/otzyvy/531069,tinkoff-bank,5
531049,/bank/sovkombank/otzyvy/531049,sovkombank,5
531045,/bank/tinkoff-bank/otzyvy/531045,tinkoff-bank,5
531033,/bank/tinkoff-bank/otzyvy/531033,tinkoff-bank,5
531009,/bank/tinkoff-bank/otzyvy/531009,tinkoff-bank,5
530995,/bank/sovkombank/otzyvy/530995,sovkombank,5
530972,/bank/tinkoff-bank/otzyvy/530972,tinkoff-bank,5
